#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
163;;;"Se tpEmit for igual a 1 (prestador) e a opá∆o pelo simples nacional for igual a 2 (MEI), 
ent∆o o munic°pio emissor deve corresponder ao munic°pio do endereáo do emitente no cadastro CNPJ.";;Obrig.;Rej.;E0041;O munic°pio emissor n∆o corresponde ao munic°pio do emitente MEI no CNPJ.;1;V;V;X;X;-;;;
164;;;Verificar se o c¢digo do munic°pio emissor da NFS-e existe, conforme TAB.MUN_IBGE do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe, e corresponde ao mesmo munic°pio que est† compartilhando a NFS-e.;;Obrig.;Rej.;E1304;O c¢digo do munic°pio emissor da NFS-e n∆o existe conforme tabela do IBGE ou difere do c¢digo do municipio que est† compartilhando o documento com o ADN do Sistema Nacional NFS-e.;1;X;X;V;V;-;;;
165;;;O c¢digo do munic°pio informado deve existir e estar ativo no cadastro de convànio municipal na data de processamento do compartilhamento com o ADN.;;Obrig.;Rej.;E1272;O c¢digo do munic°pio informado n∆o existe ou n∆o est† ativo no convànio municipal na data de processamento de compartilhamento com o ADN.;1;X;X;V;V;Compartilhamento e Distribuiá∆o devem serguir esta regra;;;
166;NFSe/infNFSe/DPS/infDPS/;subst;-;;-;-;-;-;-;-;-;-;-;-;;;
167;NFSe/infNFSe/DPS/infDPS/subst;chSubstda;"Chave de NFS-e a ser substitu°da Ç inv†lida.

1 - Verificar DV da chave de NFS-e a ser substitu°da informada nesta DPS;
2 - Verificar a correspondància exata dos campos (C¢d.Mun. / Tipo de Inscriá∆o / Inscriá∆o) da chave de NFS-e a ser substitu°da informada e o id desta DPS;";;Obrig.;Rej.;E0042;Chave de NFS-e a ser substitu°da Ç inv†lida.;1;V;V;V;V;-;;;
168;;;NFS-e inexistente.;;Obrig.;Rej.;E0044;NFS-e n∆o existe na base de dados do autorizador de NFS-e nacional. Informe uma chave de NFS-e existente.;1;V;V;V;V;-;;;
169;;;NFS-e cancelada n∆o pode ser substitu°da.;;Obrig.;Rej.;E0046;Uma NFS-e cancelada n∆o pode ser substitu°da. Informe uma chave de NFS-e n∆o cancelada anteriormente.;1;V;V;V;V;-;;;
170;;;N∆o poder† ocorrer a substituiá∆o de NFS-e fora do prazo permitido, conforme parametrizaá∆o do munic°pio emissor da NFS-e, exceto quando a justificativa para substituiá∆o de NFS-e for Desenquadramento ou Enquadramento de NFS-e no Simples Nacional (cMotivo = 1 ou 2).;;Obrig.;Rej.;E0050;Uma NFS-e n∆o pode ser substitu°da fora do prazo estabelecido pelo munic°pio emissor da NFS-e.;3;V;X;X;X;-;;;
171;;;N∆o poder† ocorrer a substituiá∆o de NFS-e que n∆o contenha identificaá∆o do tomador, conforme parametrizaá∆o do munic°pio emissor da NFS-e.;;Obrig.;Rej.;E0056;NFS-e n∆o pode ser substitu°da pois n∆o possui identificaá∆o do tomador.;3;V;X;X;X;-;;;
172;;;N∆o poder† ocorrer a substituiá∆o de NFS-e com alteraá∆o da identificaá∆o do n∆o emitente, conforme parametrizaá∆o do munic°pio emissor da NFS-e.;;Obrig.;Rej.;E0058;N∆o poder† ocorrer a substituiá∆o de NFS-e com alteraá∆o da identificaá∆o do n∆o emitente, conforme parametrizaá∆o do munic°pio emissor da NFS-e.;3;V;X;X;X;-;;;
173;;;Os campos data de competància, subitem da lista nacional de serviáos, c¢digo complementar municipal e local da prestaá∆o n∆o podem ser alterados quando a opá∆o do simples nacional for N∆o Optante (opSimpNac = 1).;;Obrig.;Rej.;E0060;Os campos data de competància, subitem da lista nacional de serviáos, c¢digo complementar municipal e local da prestaá∆o n∆o podem ser alterados quando a opá∆o do simples nacional for N∆o Optante (opSimpNac = 1).;2;V;X;X;X;-;;;
174;;;Os campos identificaá∆o do Tomador (se identificado na DPS), data de competància (dCompet), e valor do serviáo (vServ), n∆o podem ser alterados quando a opá∆o do simples nacional for MEI (opSimpNac = 2) ou ME/EPP (opSimpNac = 3).;;Obrig.;Rej.;E0061;Os campos identificaá∆o do Tomador (se identificado na DPS), data de competància (dCompet), e valor do serviáo (vServ), n∆o podem ser alterados quando a opá∆o do simples nacional for MEI (opSimpNac = 2) ou ME/EPP (opSimpNac = 3).;2;V;X;X;X;-;;;
175;;;N∆o poder† ocorrer a substituiá∆o de NFS-e que tenha sido gerada em ambientes geradores difentes.;;Obrig.;Rej.;E0065;N∆o Ç poss°vel substituiá∆o da NFS-e que tenha sido gerada em ambientes geradores diferentes.;1;V;V;V;V;-;;;
176;;;N∆o Ç poss°vel a substituiá∆o desta NFS-e pois a mesma possui registro de Evento de Solicitaá∆o de An†lise Fiscal para Cancelamento de NFS-e aguardando resposta.;;Obrig.;Rej.;E0068;N∆o Ç poss°vel a substituiá∆o desta NFS-e pois a mesma possui registro de Evento de Solicitaá∆o de An†lise Fiscal para Cancelamento de NFS-e aguardando resposta. Para mais informaá‰es, consultar a Administraá∆o Tribut†ria Municipal do munic°pio emissor da NFS-e.;1;V;V;V;V;-;;;
177;;;N∆o poder† ocorrer a substituiá∆o de NFS-e que tenha registro de Evento de Manifestaá∆o de Confirmaá∆o da NFS-e.;;Obrig.;Rej.;E0070;N∆o Ç poss°vel a substituiá∆o desta NFS-e pois j† ocorreu uma manifestaá∆o de confirmaá∆o de serviáo. Para mais informaá‰es, consultar a Administraá∆o Tribut†ria Municipal do munic°pio emissor da NFS-e.;2;V;X;X;X;-;;;
178;;;N∆o poder† ocorrer a substituiá∆o de NFS-e que tenha registro de Evento de Manifestaá∆o de Confirmaá∆o T†cita da NFS-e.;;Obrig.;Rej.;E0072;N∆o Ç poss°vel a substituiá∆o desta NFS-e pois j† ocorreu uma manifestaá∆o t†cita da NFS-e. Para mais informaá‰es, consultar a Administraá∆o Tribut†ria Municipal do munic°pio emissor da NFS-e.;2;V;X;V;X;-;;;
179;;;N∆o Ç permitido realizar a substituiá∆o para NFS-e que possua Evento de Tributos Recolhidos vinculado, conforme parametrizaá∆o do munic°pio de incidància do ISSQN.;;Obrig.;Rej.;E0074;N∆o Ç permitido realizar a substituiá∆o para NFS-e que possua Evento de Tributos Recolhidos vinculado, conforme parametrizaá∆o do munic°pio de incidància do ISSQN. Para mais informaá‰es, consultar a Administraá∆o Tribut†ria Municipal do munic°pio emissor da NFS-e.;3;V;X;X;X;Aguarda para Implementar no Contexto do MAN.;;;
180;;;N∆o Ç permitido realizar a substituiá∆o para NFS-e que possua Evento de Bloqueio de Of°cio para o Evento de Cancelamento de NFS-e por Substituiá∆o vigente.;;Obrig.;Rej.;E0076;N∆o Ç permitido realizar a substituiá∆o para NFS-e que possua Evento de Bloqueio de Of°cio para o Evento de Cancelamento de NFS-e por Substituiá∆o vigente.;1;V;V;V;V;-;;;
181;;;"Uma NFS-e substituta n∆o pode ser compartilhada com o ADN pelo munic°pio conveniado antes que o cancelamento por sustituiá∆o de NFS-e da nota a ser substitu°da tenha sido compartilhada anteriormente.

Obs: Verificar se j† houve o compartilhamento com o ADN do cancelamento por substituiá∆o de NFS-e, quando uma NFS-e que est† sendo compartilhada possuir uma chave de NFS-e v†lida informada no leiaute. ";;Obrig.;Rej.;E1308;NFS-e a ser substitu°da n∆o possui um evento de Cancelamento por substituiá∆o compartilhado com o ADN e por isso n∆o pode ser substitu°da.;1;X;X;V;V;-;;;
182;;;"Uma NFS-e substituta n∆o pode ser compartilhada com o ADN pelo munic°pio conveniado antes que o evento de cancelamento por sustituiá∆o de NFS-e, compartilhado anteriormente, contenha a referància ao identificador da NFS-e substituta que est† sendo conpartilhada.

Obs: 
Obs: Verificar se o identificador da NFS-e substituta corresponde Ö chave de acesso informada no campo evento/pedRegEvento/infPedReg/e105102/chSubstituta do evento de cancelamento por sustituiá∆o da NFS-e substitu°da;";;Obrig.;Rej.;E1310;O identificador desta NFS-e substituta n∆o est† referenciado no evento de Cancelamento por substituiá∆o da NFS-e substitu°da.;1;X;X;V;V;-;;;
183;NFSe/infNFSe/DPS/infDPS/subst;cMotivo;-;;-;-;-;-;-;-;-;-;-;-;;;
184;NFSe/infNFSe/DPS/infDPS/subst;xMotivo;Quando o campo cMotivo = 99, o campo xMotivo deve informado obrigatoriamente.;;Obrig.;Rej.;E0078;Quando o campo cMotivo = 99, o campo xMotivo deve informado obrigatoriamente.;1;V;X;V;X;-;;;
185;NFSe/infNFSe/DPS/infDPS/;prest;-;;-;-;-;-;-;V;-;-;-;-;;;
186;NFSe/infNFSe/DPS/infDPS/prest/;CNPJ;CNPJ informado na DPS Ç inv†lido (verificar DV).;;Obrig.;Rej.;E0080;CNPJ do prestador informado na DPS Ç inv†lido.;1;V;V;V;V;-;;;
187;;;CNPJ do prestador n∆o existe no cadastro CNPJ na data de competància informada na DPS.;;Obrig.;Rej.;E0082;CNPJ do emitente prestador n∆o encontrado no cadastro CNPJ na data de competància.;2;V;V;X;X;-;;;
188;;;"Para este CNPJ, se o emitente for o prestador de serviáo (tpEmit = 1), na data de competància informada na DPS, o munic°pio emissor deve corresponder:
1) ao munic°pio do endereáo registrado no cadastro CNPJ, se a situaá∆o padr∆o para emiss∆o dos contribuintes, com endereáo no munic°pio, do cadastro CNPJ da RFB for habilitada ou;
2) ao munic°pio do endereáo registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);

Exceto quando o emitente da DPS for MEI (opSimpNac = 2) na data de competància da emiss∆o da NFS-e.";;Obrig.;Rej.;E0084;CNPJ do emitente prestador n∆o possui estabelecimento ou domic°lio em um munic°pio correspondente ao munic°pio emissor, na data de competància informada na DPS, conforme cadastros CNPJ e CNC NFS-e.;2;V;X;X;X;-;;;
189;NFSe/infNFSe/DPS/infDPS/prest/;CPF;CPF informado na DPS Ç inv†lido (verificar DV).;;Obrig.;Rej.;E0096;CPF do prestador informado na DPS Ç inv†lido.;1;V;V;V;V;-;;;
190;;;CPF do prestador n∆o existe no cadastro CPF na data de competància informada na DPS.;;Obrig.;Rej.;E0098;CPF do emitente prestador n∆o encontrado no cadastro CPF na data de competància.;2;V;V;X;X;-;;;
191;;;"Para este CPF, se o emitente for o prestador de serviáo (tpEmit = 1), na data de competància informada na DPS, o munic°pio emissor deve corresponder ao munic°pio do endereáo registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0099;CPF do emitente prestador n∆o possui estabelecimento ou domic°lio em um munic°pio correspondente ao munic°pio emissor, na data de competància informada na DPS, conforme  cadastro nacional complementar NFS-e (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e).;2;V;X;X;X;-;;;
192;NFSe/infNFSe/DPS/infDPS/prest/;NIF;Se o campo tpEmit for °gual a 1, ent∆o NIF do prestador n∆o pode ser informado.;;Obrig.;Rej.;E0112;O prestador de serviáo, quando emitente da DPS, n∆o pode ser identificado pelo NIF.;1;V;X;V;X;-;;;
193;;;Se o grupo de informaá‰es de endereáo no exterior do prestador de serviáos foi informado ent∆o o NIF ou cNaoNIF do prestador deve ser informado.;;Obrig.;Rej.;E0113;O NIF ou cNaoNIF do prestador deve ser informado quando o grupo de informaá‰es de endereáo no exterior do prestador de serviáos foi informado.;1;V;X;V;X;-;;;
194;NFSe/infNFSe/DPS/infDPS/prest/;cNaoNIF;;;;Rej.;;;;;;;;;;;
195;;;Se o campo tpEmit for °gual a 1, ent∆o cNaoNIF do prestador n∆o pode ser informado.;;Obrig.;Rej.;E0114;O prestador de serviáo, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.;1;V;X;V;X;-;;;
196;;;Se o valor do campo cNaoNIF do prestador, informado na DPS, for 0, ent∆o a DPS deve ser rejeitada.;;Obrig.;Rej.;E0115;Valor 0 para o motivo da n∆o informaá∆o do NIF do prestador n∆o Ç permitido na Sefin do Sistema Nacional NFS-e.;1;V;X;V;X;-;;;
197;NFSe/infNFSe/DPS/infDPS/prest/;CAEPF;-;;-;-;-;-;-;-;-;-;-;-;;;
198;NFSe/infNFSe/DPS/infDPS/prest/;IM;"Se o emitente for o prestador de serviáo (tpEmit = 1) e, se houver registro complementar do contribuinte no CNC do munic°pio correspondente ao munic°pio emissor da DPS, ent∆o a IM deve ser informada na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviáo e o codigo do munic°pio emissor (cLocEmi), ambos informados na DPS, para identificar as ocorràncias no CNC NFS-e. Se houver pelo menos uma ocorrància, ent∆o o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.

Exceto quando o emitente da DPS for MEI na data de competància da emiss∆o da NFS-e.";;Obrig.;Rej.;E0116;A IM deve ser informada para o emitente prestador do serviáo na DPS, conforme informaá‰es complementares registradas no CNC NFS-e do munic°pio emissor informado na DPS.;2;V;X;X;X;-;;;
199;;;"Se o emitente for o prestador de serviáo (tpEmit = 1) e se houver registro complementar do contribuinte no CNC do munic°pio correspondente ao munic°pio emissor da DPS, verificar se o IM informado est† autorizado a emitir NFS-e na data de processamento desta DPS,.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviáo, o codigo do munic°pio emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.

Exceto quando o emitente da DPS for MEI na data de competància da emiss∆o da NFS-e.";;Obrig.;Rej.;E0119;IM do emitente prestador n∆o est† autorizado a emitir NFS-e, conforme informaá‰es complementares registradas no CNC NFS-e do munic°pio emissor informado na DPS.;2;V;X;X;X;-;;;
200;;;"Se o emitente for o prestador de serviáo (tpEmit = 1) e, se n∆o houver registro complementar do contribuinte no CNC do munic°pio correspondente ao munic°pio emissor da DPS, ent∆o o IM n∆o deve ser informado na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviáo, o codigo do munic°pio emissor (cLocEmi),  informados na DPS, para identificar o registro complementar no CNC NFS-e.";;Obrig.;Rej.;E0120;IM do prestador n∆o deve ser informado, pois n∆o existem informaá‰es complementares registradas no CNC NFS-e do munic°pio emissor informado na DPS.;2;V;X;X;X;-;;;
201;;;"Para o emitente prestador de serviáo (tpEmit = 1), verificar se o IM informado nesta DPS est† Inativo (cStat) no CNC do munic°pio emissor na data de competància informada.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviáo, o codigo do munic°pio emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.
 
Se todos os registros complementares estiverem inativos, utilizar as informaá‰es dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.";;Obrig.;Rej.;E0124;O IM informado est† inativo no CNC NFS-e do munic°pio emissor para a data de competància informada na DPS. ;2;V;X;X;X;-;;;
202;NFSe/infNFSe/DPS/infDPS/prest/;xNome;Se o emitente da DPS for o prestador de serviáo (tpEmit for igual a 1), ent∆o o nome ou raz∆o social n∆o deve ser informado.;;Obrig.;Rej.;E0121;O nome ou raz∆o social do prestador n∆o deve ser informado quando o emitente da DPS for o pr¢prio prestador.;2;V;X;V;X;-;;;
203;;;Se o emitente da DPS n∆o for o prestador de serviáo (tpEmit for igual a 2 ou 3), ent∆o o nome ou raz∆o social deve ser informado.;;Obrig.;Rej.;E0122;O nome ou raz∆o social do prestador deve ser informado quando o emitente da DPS n∆o for o pr¢prio prestador.;2;V;X;V;X;-;;;
204;;;Se NIF do prestador for preenchido ent∆o o campo xNome deve ser preenchido obrigatoriamente.;;Obrig.;Rej.;E0123;O preenchimento do nome empresarial Ç obrigat¢rio quando o prestador for identificado com NIF.;1;V;X;V;X;-;;;
205;NFSe/infNFSe/DPS/infDPS/prest/;end;Se o emitente da DPS for o tomador ou intermedi†rio (tpEmit = 2 ou 3) o grupo de informaá‰es do endereáo do prestador de serviáo deve ser informado na DPS obrigatoriamente.;;Obrig.;Rej.;E0129;O endereáo do prestador deve ser informado na DPS quando o prestador n∆o for o emitente da DPS.;1;V;X;V;X;-;;;
206;;;Se o emitente da DPS Ç o prestador do serviáo (tpEmit = 1), ent∆o o grupo de informaá‰es do endereáo do prestador de serviáo n∆o deve ser informado na DPS.;;Obrig.;Rej.;E0128;O endereáo do prestador do serviáo n∆o deve ser informado na DPS quando o pr¢prio prestador for o emitente da DPS.;1;V;X;V;X;-;;;
207;NFSe/infNFSe/DPS/infDPS/prest/;endNac;Se o CNPJ ou CPF do prestador de serviáo foi informado e o emitente da DPS for o prestador (tpEmit = 2 ou 3), ent∆o o grupo de informaá‰es de endereáo nacional do prestador do serviáo deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0125;O endereáo nacional do prestador do serviáo deve ser informado na DPS quando for identificado pelo CNPJ ou CPF e o emitente da DPS for o tomador ou intermedi†rio.;1;V;X;V;X;-;;;
208;NFSe/infNFSe/DPS/infDPS/prest/end/endNac/;cMun;O c¢digo do munic°pio para o endereáo do prestador do serviáo n∆o existe, conforme TAB.MUN_IBGE do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.;;Obrig.;Rej.;E0130;O c¢digo do munic°pio para o endereáo do prestador do serviáo n∆o existe conforme tabela de munic°pio do IBGE.;1;V;X;V;X;-;;;
209;;;Quando o endereáo nacional do prestador for informado na DPS e o mesmo for identificado pelo CNPJ, o c¢digo do munic°pio do endereáo do prestador, deve existir e corresponder ao munic°pio do seu endereáo no cadastro CNPJ ou do endereáo registrado em suas informaá‰es complementares no CNC NFS-e, na data de competància informada na DPS.;;Obrig.;Rej.;E0132;O c¢digo do munic°pio informado na DPS para o endereáo do prestador do serviáo, identificado pelo CNPJ, n∆o corresponde ao munic°pio registrado em seus cadastros na data de competància informada na DPS.;2;V;X;X;X;-;;;
210;;;Quando o endereáo nacional do prestador for informado na DPS e o mesmo for identificado pelo CPF, o c¢digo do munic°pio do endereáo do prestador, deve existir e corresponder ao munic°pio do seu endereáo no cadastro CPF ou do endereáo registrado em suas informaá‰es complementares no CNC NFS-e, na data de competància informada na DPS.;;Obrig.;Rej.;E0134;O c¢digo do munic°pio informado na DPS para o endereáo do prestador do serviáo, identificado pelo CPF, n∆o corresponde ao munic°pio registrado em seus cadastros na data de competància informada na DPS.;2;V;X;X;X;-;;;
211;NFSe/infNFSe/DPS/infDPS/prest/end/endNac/;CEP;O CEP informado deve existir e pertencer ao munic°pio correspondente ao c¢digo do munic°pio informado para o endereáo do prestador do serviáo.;;Obrig.;Rej.;E0138;O CEP informado para o endereáo nacional do prestador do serviáo n∆o existente ou n∆o pertence ao munic°pio informado na DPS. Informe um CEP existente e que pertenáa ao munic°pio informado para o endereáo do prestador do serviáo na DPS.;1;V;X;V;X;-;;;
212;NFSe/infNFSe/DPS/infDPS/prest/end/;endExt;Se o NIF do prestador de serviáo foi informado e o emitente da DPS, tomador ou intermedirio (tpEmit = 2 ou 3), for identificado por CNPJ, ent∆o o grupo de informaá‰es de endereáo no exterior do prestador do serviáo deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0142;O grupo de informaá‰es de endereáo no exterior deve ser informado obrigatoriamente quando o prestador for identificado pelo NIF e o emitente por CNPJ.;1;V;X;V;X;-;;;
213;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;cPais;O c¢digo de pa°s informado para o endereáo no exterior do prestador do serviáo deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.;;Obrig.;Rej.;E0146;O c¢digo de pa°s informado para o endereáo no exterior do prestador do serviáo n∆o existe ou Ç igual ao c¢digo do Brasil. Informe um c¢digo de pa°s existente e diferente do codigo do Brasil (BR) para o endereáo no exterior do prestador do serviáo, conforme tabela de pa°s do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.;1;V;X;V;X;-;;;
214;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;cEndPost;-;;-;-;-;-;-;-;-;-;-;-;;;
215;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;xCidade;-;;-;-;-;-;-;-;-;-;-;-;;;
216;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;xEstProvReg;-;;-;-;-;-;-;-;-;-;-;-;;;
217;NFSe/infNFSe/DPS/infDPS/prest/end/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
218;NFSe/infNFSe/DPS/infDPS/prest/end/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
219;NFSe/infNFSe/DPS/infDPS/prest/end/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
220;NFSe/infNFSe/DPS/infDPS/prest/end/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
221;NFSe/infNFSe/DPS/infDPS/prest/;fone;-;;-;-;-;-;-;-;-;-;-;-;;;
222;NFSe/infNFSe/DPS/infDPS/prest/;email;Email deve ser informado conforme estrutura (conter @, ponto etc.).;;Obrig.;Rej.;E0148;Email inv†lido.;2;V;X;V;X;-;;;
223;NFSe/infNFSe/DPS/infDPS/prest/;regTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
224;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;opSimpNac;"Opá∆o de situaá∆o perante o Simples Nacional do prestador, informada na DPS, n∆o est† de acordo com o cadastro Simples Nacional na data de competància informada na DPS.
Se CNPJ do prestador n∆o consta no cadastro ent∆o opSimpNac Ç igual a 1;";;Obrig.;Rej.;E0160;No màs de competància da NFS-e, a opá∆o de situaá∆o perante o Simples Nacional, do prestador, informada na DPS n∆o est† de acordo com o cadastro Simples Nacional.;2;V;X;X;X;-;;;
225;;;Quando o emitente for MEI a NFS-e poder† ser compartilhada pelo munic°pio com o ADN somente se a data de competància for igual ou menor que 31/08/2023.;;Obrig.;Rej.;E0161;NFS-e cujo emitente for MEI somente poder† ser compartilhada pelo munic°pio com o ADN se a data de competància, informada na NFS-e, for menor ou igual a 31/08/2023.;2;X;X;V;V;-;;;
226;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;regApTribSN;O regime de apuraá∆o dos tributos para o optante do Simples Nacional (ME/EPP) n∆o pode ser preenchido quando o prestador de serviáo n∆o for optante do simples nacional ou for MEI, ou seja, o campo opSimpNac = 1 ou 2.;;Obrig.;Rej.;E0162;N∆o Ç permitido ao n∆o optante do Simples Nacional e o MEI preencherem o campo de indicaá∆o do regime de apuraá∆o dos tributos apurados.;2;V;X;V;X;-;;;
227;;;O regime de apuraá∆o dos tributos para o optante do Simples Nacional (ME/EPP) deve ser preenchido obrigatoriamente quando o prestador de serviáo for optante do simples nacional (ME/EPP), ou seja, o campo opSimpNac = 3.;;Obrig.;Rej.;E0166;ê obrigatorio o preenchimento do campo de regime de apuraá∆o dos tributos do SN para o optante do Simples Nacional ME/EPP.;2;V;X;V;X;-;;;
228;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;regEspTrib;"N∆o Ç permitido informar Regime Especial de Tributaá∆o, ou seja, regEspTrib deve ser igual a 0 (Nenhum), quando o serviáo prestado for imune, exportaá∆o de serviáo ou n∆o incidància do ISSQN sobre o serviáo prestado, ou seja, o campo referente Ö tributaá∆o do ISSQN (tribISSQN) Ç igual a ""2 - Imunidade, ""3 - Exportaá∆o de Serviáo"" ou ""4 - N∆o Incidància"", 
(tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E0172;"O Regime Especial de Tributaá∆o deve ser ""Nenhum"" (regEspTrib = 0) quando o serviáo prestado for diferente de Tribut†vel (tribISSQN = 1), ou seja, tribISSQN = 2, 3 ou 4.";2;V;X;V;X;-;;;
229;;;"O tipo de regime especial de tributaá∆o deve ser ""Nenhum"", quando o prestador for MEI (opSimpNac = 2).";;Obrig.;Rej.;E0174;"Quando o prestador da NFS-e Ç MEI (opSimpNac = 2) o regime especial de tributaá∆o deve ser ""Nenhum"" (regEspTrib = 0).";2;V;X;V;X;-;;;
230;;;"O tipo de regime especial de tributaá∆o deve ser ""Nenhum"" (regEspTrib = 0) quando o prestador for optante do Simples Nacional ME/EPP (opSimpNac = 3) e o regime de apuraá∆o dos tributos federais e municipal ocorrer pelo SN (regApTribSN = 1).";;Obrig.;Rej.;E0175;"Quando o prestador optante pelo Simples Nacional tiver o regime de apuraá∆o dos tributos ocorrendo tambÇm pelo Simples Nacional, o regime especial de tributaá∆o do ISSQN deve ser ""Nenhum"" (regEspTrib = 0).";2;V;X;V;X;-;;;
231;;;"N∆o Ç permitido informar Regime Especial de Tributaá∆o ""N∆o admitido pelo munic°pio"", conforme parametrizaá∆o do munic°pio de incidància do ISSQN.";;Obrig.;Rej.;E0177;Regime especial de tributaá∆o informado na DPS n∆o Ç admitido na parametrizaá∆o do munic°pio de incidància do ISSQN.;2;V;X;X;X;-;;;
232;;;"ê permitido informar Profissional Autìnomo na DPS somente se:

 o prestador de serviáo estiver parametrizado como Profissional Autìnomo, na data de competància informada na DPS, em pelo menos um dos munic°pios, emissor ou de incidància do ISSQN (cLocIncid ou cLocEmi)
ou
se estiver admitido sem verificaá∆o (parÉmetro ""Informado na DPS pelo Emitente - Sem verificaá∆o""), conforme parametrizaá∆o do munic°pio de incidància do ISSQN na data de competància informada na DPS.";;Obrig.;Rej.;E0176;"ê permitido informar Profissional Autìnomo na DPS somente se o prestador de serviáo estiver parametrizado como Profissional Autìnomo, na data de competància informada na DPS, em pelo menos um dos munic°pios, emissor ou de incidància do ISSQN (cLocIncid ou cLocEmi) ou se estiver admitido sem verificaá∆o (parÉmetro ""Informado na DPS pelo Emitente - Sem verificaá∆o""), conforme parametrizaá∆o do munic°pio de incidància do ISSQN na data de competància informada na DPS.";2;V;X;V;X;-;;;
233;;;"ê permitido informar Regime Especial de Tributaá∆o atribu°do para contribuinte espec°fico, conforme parametrizaá∆o do munic°pio de incidància do ISSQN na data de competància informada na DPS.

ver descriá∆o na coluna observaá‰es de neg¢cio.";;Obrig.;Rej.;E0178;Regime especial de tributaá∆o n∆o permitido para o prestador do serviáo com c¢digo de tributaá∆o na data de competància, informados na DPS, conforme parametrizaá∆o do munic°pio de incidància do ISSQN.;2;V;X;X;X;-;;;
234;NFSe/infNFSe/DPS/infDPS/;toma;Se campo cIndOp for igual a 030102, 050102, 100101, 100301, 100501, 030103, 050103, 100102, 100201, 100302, 100401, 100502 ou 100601, ent∆o o grupo toma deve ser informado.;;Obrig.;Rej.;E0187;O grupo de informaá‰es relativas ao tomador/adquirente do serviáo Ç obrigat¢rio para o indicador de operaá∆o informado.;2;V;X;V;X;-;;;
235;NFSe/infNFSe/DPS/infDPS/toma/;CNPJ;CNPJ informado na DPS Ç inv†lido (verificar DV).;;Obrig.;Rej.;E0188;CNPJ do tomador informado na DPS Ç inv†lido.;1;V;V;V;V;-;;;
236;;;CNPJ do tomador n∆o existe no cadastro CNPJ na data de competància informada na DPS.;;Obrig.;Rej.;E0190;CNPJ do tomador n∆o encontrado no cadastro CNPJ.;2;V;V;X;X;-;;;
237;;;"Para este CNPJ, se o emitente for o tomador de serviáo (tpEmit = 2), na data de competància informada na DPS o munic°pio emissor deve corresponder:
1) ao munic°pio do endereáo registrado no cadastro CNPJ ou;
2) ao munic°pio do endereáo registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0194;CNPJ do emitente tomador n∆o possui estabelecimento ou domic°lio em um munic°pio correspondente ao munic°pio emissor, na data de competància informada na DPS, conforme cadastros CNPJ e CNC NFS-e.;2;V;X;X;X;Regra executada somente quando o emitente da DPS for o tomador ou intermedi†rio do serviáo (tpEmit = 2 ou 3).;;;
