#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
13;;;"Se o c¢digo de tributaá∆o nacional informado corresponder a um dos seguintes c¢digos: 
030401, 030402, 030403, 030501, 070201, 070202, 070401, 070501, 070502, 070901, 070902, 071001, 071002, 071101, 071102, 071201, 071601, 071701, 071801, 071901, 110101, 110102, 110201, 110301, 110401, 110402, 120101, 120201, 120301, 120401, 120501, 120601, 120701, 120801, 120901, 120902, 120903, 121001, 121101, 121201, 121401, 121501, 121601, 121701, 160101, 160102, 160103, 160104, 160201, 171001, 171002, 220101,
ent∆o o codigo da localidade de  incidància do ISSQN deve ser igual ao c¢digo do local de prestaá∆o do serviáo informado na NFS-e pelo munic°pio.

Exceto para os casos de Imunidade, Exportaá∆o de Serviáo e N∆o Incidància (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E1317;"O local de incidància do ISSQN deve ser igual ao munic°pio da prestaá∆o do serviáo (NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao)
 do serviáo informado na NFS-e compartilhada pelo munic°pio, quando informado qualquer c¢digo de tributaá∆o nacional cuja regra de incidància indique o local da prestaá∆o, conforme a tabela MUN.INCID_INFO.SERV. do ANEXO_I-SEFIN_ADN-DPS_NFSe-SNNFSe.";2;V;X;V;X;-;;;
14;;;"Se o c¢digo de tributaá∆o nacional informado corresponder a um dos seguintes c¢digos: 
170501, 
ent∆o o codigo do local de incidància do ISSQN deve ser igual ao c¢digo do munic°pio do endereáo do tomador 
(NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun) 
 do serviáo informado na NFS-e compartilhada pelo munic°pio.

Exceto para os casos de Imunidade, Exportaá∆o de Serviáo e N∆o Incidància (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E1321;O local de incidància do ISSQN deve ser igual ao munic°pio do endereáo do tomador do serviáo informado na NFS-e compartilhada pelo munic°pio (NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun).;2;V;X;V;X;-;;;
15;;;"Excetuados os c¢digos de tributaá∆o nacional:
030401, 030402, 030403, 030501, 070201, 070202, 070401, 070501, 070502, 070901, 070902, 071001, 071002, 071101, 071102, 071201, 071601, 071701, 071801, 071901, 110101, 110102, 110201, 110301, 110401, 110402, 120101, 120201, 120301, 120401, 120501, 120601, 120701, 120801, 120901, 120902, 120903, 121001, 121101, 121201, 121401, 121501, 121601, 121701, 160101, 160102, 160103, 160104, 160201, 171001, 171002, 170501, 220101 e 990101,
para os demais c¢digos de tributaá∆o, de acordo com a tabela MUN.INCID_INFO.SERV. do ANEXO_I-SEFIN_ADN-DPS_NFSe-SNNFSe, 
o codigo da localidade de incidància do ISSQN deve ser igual ao
c¢digo do munic°pio do endereáo do emitente da NFS-e (NFSe/infNFSe/emit/endNac/cMun), 
quanto o emitente for o prestador do serviáo (tpEmit = 1),
 ou c¢digo do munic°pio do endereáo do prestador do serviáo da DPS (NFSe/infNFSe/DPS/infDPS/prest/end/endNac/cMun),
quando o emitente da NFS-e for o tomador ou intermedi†rio (tpEmit = 2 ou 3).


Exceto para os casos de Imunidade, Exportaá∆o de Serviáo e N∆o Incidància (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E1325;"O local de incidància do ISSQN deve ser igual ao munic°pio do endereáo do prestador (NFSe/infNFSe/DPS/infDPS/prest/end/endNac/cMun)
do serviáo informado na NFS-e compartilhada pelo munic°pio, quando informado qualquer c¢digo de tributaá∆o nacional cuja regra de incidància indique o munic°pio do estabelecimento do prestador, conforme a tabela MUN.INCID_INFO.SERV. do ANEXO_I-SEFIN_ADN-DPS_NFSe-SNNFSe.";2;V;X;V;X;-;;;
16;NFSe/infNFSe/;xLocIncid;ê obrigat¢rio informar a descriá∆o do local de incidància quando o c¢digo do local de incidància (cLocIncid) for informado.;;Obrig.;Rej.;E1327;ê obrigat¢rio informar a descriá∆o do local de incidància quando o c¢digo do local de incidància (cLocIncid) for informado.;1;V;V;V;V;-;;;
17;;;N∆o Ç permitido informar a descriá∆o do local de incidància quando o c¢digo do local de incidància (cLocIncid) n∆o for informado.;;Obrig.;Rej.;E1329;N∆o Ç permitido informar a descriá∆o do local de incidància quando o c¢digo do local de incidància (cLocIncid) n∆o for informado.;1;V;V;V;V;-;;;
17;NFSe/infNFSe/;xTribNac;-;;-;-;-;-;-;-;-;-;-;-;;;
18;NFSe/infNFSe/;xTribMun;-;;-;-;-;-;-;-;-;-;-;-;;;
#REF!;NFSe/infNFSe/;xNBS;-;;-;-;-;-;-;-;-;-;-;-;;;
21;NFSe/infNFSe/;verAplic;-;;-;-;-;-;-;-;-;-;-;-;;;
22;NFSe/infNFSe/;ambGer;"Verificar se o ambiente gerador da NFS-e est† de acordo com a definiá∆o:
1- Sistema Pr¢prio do Munic°pio, para as NFS-e compartilhadas pelo munic°pio para o ADN, ou
2 - Sefin Nacional NFS-e, para as NFS-e emitidas pela Sefin ou recepcionadas via API ""Bypass"".";;Obrig.;Rej.;E1274;O ambiente gerador da NFS-e n∆o est† de acordo com a definiá∆o 1 (Sistema Pr¢prio do Munic°pio) ou 2 (Sefin Nacional).;1;V;V;V;V;-;;;
